Position (m),Velocity (m/s),Acceleration (m/s²),Time (s)
0.1851,-0.007,0.1374,185.9
0.1849,-9.25E-05,0.1546,185.95
0.1851,0.0085,0.1722,186
0.1857,0.0171,0.1553,186.05
0.1868,0.024,0.1037,186.1
0.1882,0.0275,0.0518,186.15
0.1895,0.0292,0.0348,186.2
0.1911,0.031,7.70E-04,186.25
0.1926,0.0293,-0.068,186.3
0.194,0.0242,-0.1374,186.35
0.195,0.0156,-0.155,186.4
0.1956,0.0087,-0.1374,186.45
0.1959,0.0018,-0.1546,186.5
0.1957,-0.0068,-0.172,186.55
0.1952,-0.0154,-0.1724,186.6
0.1942,-0.024,-0.1382,186.65
0.1928,-0.0292,-0.0866,186.7
0.1913,-0.0327,-0.035,186.75
0.1896,-0.0327,0.0166,186.8
0.188,-0.031,0.0683,186.85
0.1865,-0.0259,0.1204,186.9
0.1854,-0.019,0.1202,186.95
0.1846,-0.0139,0.1371,187
0.184,-0.0053,0.1892,187.05
0.184,0.0051,0.1896,187.1
0.1845,0.0137,0.1548,187.15
0.1854,0.0205,0.1551,187.2
0.1866,0.0292,0.1213,187.25
0.1883,0.0327,0.035,187.3
0.1899,0.0327,-0.0168,187.35
0.1916,0.031,-0.0514,187.4
0.193,0.0276,-0.0682,187.45
0.1943,0.0242,-0.1198,187.5
0.1954,0.0156,-0.172,187.55
0.1959,0.007,-0.172,187.6
0.1961,-0.0016,-0.1722,187.65
0.1957,-0.0102,-0.155,187.7
0.1951,-0.0171,-0.1378,187.75
0.194,-0.024,-0.121,187.8
0.1927,-0.0292,-0.0696,187.85
0.1911,-0.031,-3.82E-04,187.9
0.1896,-0.0293,0.0342,187.95
0.1882,-0.0276,0.0509,188
0.1868,-0.0242,0.12,188.05
0.1858,-0.0156,0.155,188.1
0.1852,-0.0087,0.1372,188.15
0.1849,-0.0018,0.172,188.2
0.1851,0.0085,0.1725,188.25
0.1858,0.0154,0.1206,188.3
0.1866,0.0206,0.1036,188.35
0.1878,0.0258,0.0694,188.4
0.1892,0.0275,0.0176,188.45
0.1906,0.0275,-0.0168,188.5
0.1919,0.0258,-0.051,188.55
0.1931,0.0224,-0.1028,188.6
0.1942,0.0156,-0.1376,188.65
0.1947,0.0087,-0.1372,188.7
0.195,0.0018,-0.172,188.75
0.1949,-0.0085,-0.1728,188.8
0.1942,-0.0154,-0.1034,188.85
0.1933,-0.0189,-0.086,188.9
0.1923,-0.024,-0.0868,188.95
0.1909,-0.0275,-0.0178,189
0.1896,-0.0258,0.0342,189.05
0.1884,-0.0241,0.0509,189.1
0.1871,-0.0207,0.12,189.15
0.1863,-0.0121,0.1552,189.2
0.1859,-0.0052,0.1202,189.25
0.1858,-9.30E-05,0.1374,189.3
0.1859,0.0085,0.1552,189.35
0.1866,0.0154,0.1206,189.4
0.1875,0.0206,0.1036,189.45
0.1887,0.0258,0.0695,189.5
0.19,0.0275,5.73E-04,189.55
0.1914,0.0258,-0.0512,189.6
0.1926,0.0224,-0.0858,189.65
0.1937,0.0173,-0.103,189.7
0.1944,0.0121,-0.12,189.75
0.1949,0.0053,-0.1548,189.8
0.1949,-0.0034,-0.155,189.85
0.1945,-0.0102,-0.1378,189.9
0.1939,-0.0171,-0.1206,189.95
0.1928,-0.0223,-0.1036,190
0.1916,-0.0275,-0.0696,190.05
0.1901,-0.0293,-3.80E-04,190.1
0.1887,-0.0275,0.0338,190.15
0.1873,-0.0259,0.0855,190.2
0.1861,-0.019,0.1376,190.25
0.1854,-0.0121,0.1374,190.3
0.1849,-0.0053,0.1548,190.35
0.1849,0.0034,0.155,190.4
0.1852,0.0102,0.1374,190.45
0.1859,0.0171,0.1552,190.5
0.1869,0.0258,0.1213,190.55
0.1885,0.0292,0.0346,190.6
0.1899,0.0292,0.0176,190.65
0.1914,0.031,-0.0164,190.7
0.193,0.0276,-0.0856,190.75
0.1942,0.0224,-0.12,190.8
0.1952,0.0156,-0.1548,190.85
0.1957,0.007,-0.1548,190.9
0.1959,9.79E-05,-0.1546,190.95
0.1957,-0.0085,-0.1722,191
0.1951,-0.0171,-0.1552,191.05
0.194,-0.024,-0.1208,191.1
0.1927,-0.0292,-0.0866,191.15
0.1911,-0.0327,-0.0352,191.2
0.1894,-0.0327,0.034,191.25
0.1878,-0.0293,0.0684,191.3
0.1865,-0.0259,0.1027,191.35
0.1853,-0.019,0.1546,191.4
0.1846,-0.0104,0.172,191.45
0.1842,-0.0018,0.1722,191.5
0.1844,0.0068,0.1548,191.55
0.1849,0.0137,0.1548,191.6
0.1857,0.0223,0.1555,191.65
0.1871,0.0292,0.0867,191.7
0.1887,0.031,0.0176,191.75
0.1902,0.031,-0.0168,191.8
0.1918,0.0293,-0.0512,191.85
0.1931,0.0259,-0.0856,191.9
0.1944,0.0207,-0.12,191.95
0.1952,0.0139,-0.1546,192
0.1957,0.0053,-0.1722,192.05
0.1957,-0.0034,-0.1548,192.1
0.1954,-0.0102,-0.1548,192.15
0.1947,-0.0188,-0.1554,192.2
0.1935,-0.0258,-0.104,192.25
0.1921,-0.0292,-0.035,192.3
0.1906,-0.0293,0.017,192.35
0.1892,-0.0275,0.034,192.4
0.1878,-0.0259,0.0683,192.45
0.1866,-0.0207,0.12,192.5
0.1858,-0.0139,0.1548,192.55
0.1852,-0.0052,0.155,192.6
0.1852,0.0016,0.1376,192.65
0.1854,0.0085,0.1376,192.7
0.1861,0.0154,0.138,192.75
0.1869,0.0223,0.1039,192.8
0.1883,0.0258,0.0346,192.85
0.1895,0.0258,0.0176,192.9
0.1909,0.0276,-0.0162,192.95
0.1923,0.0242,-0.103,193
0.1933,0.0173,-0.1206,193.05
0.194,0.0121,-0.1028,193.1
0.1945,0.007,-0.1372,193.15
0.1947,-0.0016,-0.1724,193.2
0.1944,-0.0103,-0.138,193.25
0.1937,-0.0154,-0.1032,193.3
0.1928,-0.0206,-0.1038,193.35
0.1916,-0.0258,-0.0524,193.4
0.1902,-0.0258,0.017,193.45
0.189,-0.0241,0.034,193.5
0.1878,-0.0224,0.0682,193.55
0.1868,-0.0173,0.12,193.6
0.1861,-0.0104,0.1548,193.65
0.1858,-0.0018,0.1552,193.7
0.1859,0.0051,0.1204,193.75
0.1863,0.0102,0.1204,193.8
0.187,0.0171,0.1209,193.85
0.188,0.0223,0.0692,193.9
0.1892,0.0241,0.0346,193.95
0.1904,0.0258,0.018,194
0.1918,0.0259,-0.051,194.05
0.193,0.0207,-0.1032,194.1
0.1938,0.0155,-0.1028,194.15
0.1945,0.0104,-0.1372,194.2
0.1949,0.0018,-0.1724,194.25
0.1947,-0.0068,-0.1378,194.3
0.1942,-0.012,-0.1204,194.35
0.1935,-0.0189,-0.121,194.4
0.1923,-0.0241,-0.0692,194.45
0.1911,-0.0258,-0.0346,194.5
0.1897,-0.0275,-0.0178,194.55
0.1884,-0.0276,0.0337,194.6
0.187,-0.0242,0.1028,194.65
0.1859,-0.0173,0.1374,194.7
0.1852,-0.0104,0.1548,194.75
0.1849,-0.0018,0.155,194.8
0.1851,0.0051,0.1374,194.85
0.1854,0.0119,0.155,194.9
0.1863,0.0206,0.1381,194.95
0.1875,0.0258,0.0864,195
0.1888,0.0292,0.0522,195.05
0.1904,0.031,5.74E-04,195.1
0.1919,0.0293,-0.0514,195.15
0.1933,0.0258,-0.0684,195.2
0.1945,0.0224,-0.1024,195.25
0.1956,0.0156,-0.1718,195.3
0.1961,0.0053,-0.1894,195.35
0.1961,-0.0033,-0.172,195.4
0.1957,-0.0119,-0.1724,195.45
0.1949,-0.0206,-0.1382,195.5
0.1937,-0.0258,-0.0864,195.55
0.1923,-0.0292,-0.052,195.6
0.1908,-0.031,-0.0176,195.65
0.1892,-0.031,0.0165,195.7
0.1877,-0.0293,0.0855,195.75
0.1863,-0.0224,0.1378,195.8
0.1854,-0.0155,0.1202,195.85
0.1847,-0.0104,0.1371,195.9
0.1844,-0.0018,0.1892,195.95
0.1845,0.0085,0.1897,196
0.1852,0.0171,0.138,196.05
0.1863,0.0223,0.1034,196.1
0.1875,0.0275,0.0865,196.15
0.189,0.031,0.0352,196.2
0.1906,0.031,-0.034,196.25
0.1921,0.0276,-0.0686,196.3
0.1933,0.0241,-0.0854,196.35
0.1945,0.019,-0.1374,196.4
0.1952,0.0104,-0.1548,196.45
0.1956,0.0035,-0.1546,196.5
0.1956,-0.0051,-0.1724,196.55
0.1951,-0.0137,-0.138,196.6
0.1942,-0.0189,-0.1034,196.65
0.1932,-0.024,-0.0866,196.7
0.1918,-0.0275,-0.0348,196.75
0.1904,-0.0275,-3.75E-04,196.8
0.189,-0.0276,0.0337,196.85
0.1877,-0.0242,0.103,196.9
0.1866,-0.0173,0.1204,196.95
0.1859,-0.0121,0.12,197
0.1854,-0.0053,0.1548,197.05
0.1854,0.0034,0.155,197.1
0.1858,0.0102,0.1378,197.15
0.1864,0.0171,0.1208,197.2
0.1875,0.0223,0.0864,197.25
0.1887,0.0258,0.0524,197.3
0.19,0.0276,-0.0166,197.35
0.1914,0.0241,-0.0688,197.4
0.1925,0.0207,-0.0684,197.45
0.1935,0.0173,-0.1028,197.5
0.1942,0.0104,-0.1374,197.55
0.1945,0.0035,-0.1548,197.6
0.1945,-0.0051,-0.1552,197.65
0.194,-0.012,-0.1208,197.7
0.1933,-0.0172,-0.0862,197.75
0.1923,-0.0206,-0.069,197.8
0.1913,-0.0241,-0.0524,197.85
0.1899,-0.0258,0.0168,197.9
0.1887,-0.0224,0.0514,197.95
0.1877,-0.0207,0.0681,198
0.1866,-0.0156,0.1374,198.05
0.1861,-0.007,0.1552,198.1
0.1859,-5.58E-05,0.1204,198.15
0.1861,0.0051,0.1202,198.2
0.1864,0.012,0.138,198.25
0.1873,0.0189,0.1036,198.3
0.1883,0.0223,0.0692,198.35
0.1895,0.0258,0.0352,198.4
0.1909,0.0258,-0.034,198.45
0.1921,0.0224,-0.0688,198.5
0.1931,0.019,-0.0684,198.55
0.194,0.0156,-0.1026,198.6
0.1947,0.0087,-0.1546,198.65
0.1949,9.74E-05,-0.1722,198.7
0.1947,-0.0085,-0.1552,198.75
0.194,-0.0154,-0.1206,198.8
0.1932,-0.0206,-0.1036,198.85
0.192,-0.0258,-0.0696,198.9
0.1906,-0.0275,-1.93E-04,198.95
0.1892,-0.0258,0.017,199
0.188,-0.0258,0.0335,199.05
0.1866,-0.0225,0.1202,199.1
0.1858,-0.0138,0.1378,199.15
0.1852,-0.0087,0.12,199.2
0.1849,-0.0018,0.1548,199.25
0.1851,0.0068,0.1548,199.3
0.1856,0.0137,0.155,199.35
0.1864,0.0223,0.1385,199.4
0.1878,0.0275,0.052,199.45
0.1892,0.0275,0.0172,199.5
0.1906,0.0292,0.018,199.55
0.1921,0.0293,-0.051,199.6
0.1935,0.0241,-0.103,199.65
0.1945,0.019,-0.12,199.7
0.1954,0.0121,-0.1546,199.75
0.1957,0.0035,-0.172,199.8
0.1957,-0.0051,-0.1724,199.85
0.1952,-0.0137,-0.138,199.9
0.1944,-0.0189,-0.1032,199.95
0.1933,-0.024,-0.1036,200
0.192,-0.0292,-0.0694,200.05
0.1904,-0.031,-0.0178,200.1
0.1889,-0.031,0.0337,200.15
0.1873,-0.0276,0.1028,200.2
0.1861,-0.0207,0.1376,200.25
0.1852,-0.0138,0.1374,200.3
0.1847,-0.007,0.1546,200.35
0.1846,0.0016,0.1724,200.4
0.1849,0.0103,0.1378,200.45
0.1856,0.0154,0.1204,200.5
0.1864,0.0223,0.1209,200.55
0.1878,0.0275,0.0692,200.6
0.1892,0.0292,0.035,200.65
0.1907,0.031,-0.0162,200.7
0.1923,0.0276,-0.103,200.75
0.1935,0.0207,-0.1204,200.8
0.1944,0.0156,-0.1202,200.85
0.195,0.0087,-0.1374,200.9
0.1952,0.0018,-0.1546,200.95
0.1952,-0.0068,-0.1726,201
0.1945,-0.0154,-0.1208,201.05
0.1937,-0.0189,-0.086,201.1
0.1927,-0.024,-0.0868,201.15
0.1913,-0.0275,-0.0178,201.2
0.1899,-0.0258,0.0342,201.25
0.1887,-0.0241,0.0512,201.3
0.1875,-0.0207,0.0856,201.35
0.1866,-0.0156,0.1202,201.4
0.1859,-0.0087,0.1378,201.45
0.1858,-0.0018,0.1202,201.5
0.1858,0.0033,0.1374,201.55
0.1861,0.012,0.1553,201.6
0.187,0.0189,0.1037,201.65
0.188,0.0223,0.052,201.7
0.1892,0.0241,0.0176,201.75
0.1904,0.0241,-0.0168,201.8
0.1916,0.0224,-0.0512,201.85
0.1926,0.019,-0.0856,201.9
0.1935,0.0138,-0.1202,201.95
0.194,0.007,-0.1378,202
0.1942,5.82E-05,-0.1204,202.05
0.194,-0.0051,-0.1202,202.1
0.1937,-0.012,-0.138,202.15
0.1928,-0.0189,-0.1038,202.2
0.1918,-0.0223,-0.0522,202.25
0.1906,-0.0241,-3.81E-04,202.3
0.1894,-0.0224,0.0344,202.35
0.1884,-0.0207,0.0338,202.4
0.1873,-0.019,0.0854,202.45
0.1865,-0.0121,0.1378,202.5
0.1861,-0.0052,0.1202,202.55
0.1859,-9.30E-05,0.1374,202.6
0.1861,0.0085,0.1552,202.65
0.1868,0.0154,0.1209,202.7
0.1876,0.0206,0.0692,202.75
0.1888,0.0223,0.0344,202.8
0.1899,0.0241,0.035,202.85
0.1913,0.0258,-0.0164,202.9
0.1925,0.0224,-0.0858,202.95
0.1935,0.0173,-0.103,203
0.1942,0.0121,-0.1202,203.05
0.1947,0.0052,-0.1376,203.1
0.1947,-0.0016,-0.1374,203.15
0.1945,-0.0085,-0.155,203.2
0.1939,-0.0171,-0.1382,203.25
0.1928,-0.0223,-0.0864,203.3
0.1916,-0.0258,-0.0522,203.35
0.1902,-0.0275,-3.81E-04,203.4
0.1889,-0.0258,0.0342,203.45
0.1877,-0.0241,0.0511,203.5
0.1865,-0.0207,0.1028,203.55
0.1856,-0.0138,0.1374,203.6
0.1851,-0.007,0.1546,203.65
0.1849,0.0016,0.1724,203.7
0.1852,0.0103,0.1378,203.75
0.1859,0.0154,0.1206,203.8
0.1868,0.0223,0.1037,203.85
0.1882,0.0258,0.0516,203.9
0.1894,0.0275,0.0522,203.95
0.1909,0.031,9.57E-04,204
0.1925,0.0276,-0.0858,204.05
0.1937,0.0224,-0.103,204.1
0.1947,0.0173,-0.12,204.15
0.1954,0.0104,-0.1546,204.2
0.1957,0.0018,-0.1722,204.25
0.1956,-0.0068,-0.155,204.3
0.1951,-0.0137,-0.1378,204.35
0.1942,-0.0206,-0.1208,204.4
0.193,-0.0258,-0.0866,204.45
0.1916,-0.0292,-0.0348,204.5
0.1901,-0.0292,-3.74E-04,204.55
0.1887,-0.0293,0.0337,204.6
0.1871,-0.0259,0.1028,204.65
0.1861,-0.019,0.1376,204.7
0.1852,-0.0121,0.1376,204.75
0.1849,-0.0052,0.1374,204.8
0.1847,0.0016,0.1548,204.85
0.1851,0.0102,0.155,204.9
0.1857,0.0171,0.138,204.95
0.1868,0.024,0.1037,205
0.1882,0.0275,0.0522,205.05
0.1895,0.0293,5.71E-04,205.1
0.1911,0.0276,-0.0514,205.15
0.1923,0.0241,-0.0684,205.2
0.1935,0.0207,-0.1028,205.25
0.1944,0.0138,-0.1376,205.3
0.1949,0.007,-0.1374,205.35
0.195,9.74E-05,-0.1548,205.4
0.1949,-0.0085,-0.1552,205.45
0.1942,-0.0154,-0.1208,205.5
0.1933,-0.0206,-0.0864,205.55
0.1921,-0.0241,-0.0522,205.6
0.1909,-0.0258,-3.82E-04,205.65
0.1896,-0.0241,0.0344,205.7
0.1885,-0.0224,0.0338,205.75
0.1873,-0.0207,0.0853,205.8
0.1865,-0.0139,0.1548,205.85
0.1859,-0.0052,0.1552,205.9
0.1859,0.0017,0.1204,205.95
0.1861,0.0068,0.1204,206
0.1866,0.0137,0.1209,206.05
0.1875,0.0189,0.0692,206.1
0.1885,0.0206,0.0344,206.15
0.1895,0.0223,0.035,206.2
0.1907,0.0241,-0.0164,206.25
0.1919,0.0207,-0.086,206.3
0.1928,0.0155,-0.086,206.35
0.1935,0.0121,-0.0854,206.4
0.194,0.007,-0.1372,206.45
0.1942,-0.0016,-0.1726,206.5
0.1939,-0.0103,-0.121,206.55
0.1932,-0.0137,-0.0686,206.6
0.1925,-0.0171,-0.0862,206.65
0.1914,-0.0223,-0.0696,206.7
0.1902,-0.0241,-3.81E-04,206.75
0.189,-0.0224,0.034,206.8
0.188,-0.0207,0.0682,206.85
0.187,-0.0156,0.1204,206.9
0.1865,-0.0087,0.1204,206.95
0.1861,-0.0035,0.1202,207
0.1861,0.0034,0.1376,207.05
0.1864,0.0102,0.138,207.1
0.1871,0.0172,0.1037,207.15
0.1882,0.0206,0.0516,207.2
0.1892,0.0223,0.052,207.25
0.1904,0.0258,0.018,207.3
0.1918,0.0241,-0.0514,207.35
0.1928,0.0207,-0.0684,207.4
0.1938,0.0173,-0.1028,207.45
0.1945,0.0104,-0.1374,207.5
0.1949,0.0035,-0.1548,207.55
0.1949,-0.0051,-0.1552,207.6
0.1944,-0.012,-0.1206,207.65
0.1937,-0.0171,-0.1034,207.7
0.1927,-0.0223,-0.0864,207.75
0.1915,-0.0258,-0.0522,207.8
0.1901,-0.0275,-3.80E-04,207.85
0.1887,-0.0258,0.034,207.9
0.1875,-0.0241,0.0681,207.95
0.1863,-0.019,0.1376,208
0.1856,-0.0104,0.1378,208.05
0.1852,-0.0052,0.12,208.1
0.1851,0.0016,0.1548,208.15
0.1854,0.0102,0.155,208.2
0.1861,0.0171,0.138,208.25
0.1871,0.024,0.1039,208.3
0.1885,0.0275,0.0348,208.35
0.1899,0.0275,1.93E-04,208.4
0.1912,0.0275,-0.0168,208.45
0.1926,0.0258,-0.051,208.5
0.1938,0.0224,-0.1026,208.55
0.1949,0.0156,-0.1548,208.6
0.1954,0.007,-0.155,208.65
0.1956,7.82E-05,-0.1374,208.7
0.1954,-0.0068,-0.1548,208.75
0.1949,-0.0154,-0.1556,208.8
0.1939,-0.0223,-0.0864,208.85
0.1927,-0.024,-0.0516,208.9
0.1915,-0.0275,-0.0522,208.95
0.1899,-0.0293,-3.80E-04,209
0.1885,-0.0275,0.0339,209.05
0.1871,-0.0259,0.0851,209.1
0.1859,-0.019,0.172,209.15
0.1852,-0.0087,0.1726,209.2
0.1851,-0.0018,0.1202,209.25
0.1851,0.0033,0.1374,209.3
0.1854,0.012,0.1553,209.35
0.1863,0.0189,0.1036,209.4
0.1873,0.0223,0.0688,209.45
0.1885,0.0258,0.0694,209.5
0.1899,0.0293,0.0182,209.55
0.1914,0.0276,-0.0684,209.6
0.1926,0.0224,-0.103,209.65
0.1937,0.0173,-0.1204,209.7
0.1944,0.0104,-0.1204,209.75
0.1947,0.0052,-0.12,209.8
0.1949,-0.0016,-0.1548,209.85
0.1945,-0.0102,-0.1554,209.9
0.1939,-0.0172,-0.1038,209.95
0.1928,-0.0206,-0.0518,210
0.1918,-0.0223,-0.0346,210.05
0.1906,-0.0241,-0.0176,210.1
0.1894,-0.0241,0.0166,210.15
0.1882,-0.0224,0.0682,210.2
0.1871,-0.0173,0.1202,210.25
0.1865,-0.0104,0.1376,210.3
0.1861,-0.0035,0.1378,210.35
0.1861,0.0034,0.1206,210.4
0.1864,0.0085,0.1032,210.45
0.187,0.0137,0.1034,210.5
0.1878,0.0189,0.0866,210.55
0.1888,0.0224,0.035,210.6
0.19,0.0224,-0.017,210.65
0.1911,0.0207,-0.0342,210.7
0.1921,0.019,-0.051,210.75
0.193,0.0156,-0.1028,210.8
0.1937,0.0087,-0.1378,210.85
0.1938,0.0018,-0.1204,210.9
0.1938,-0.0034,-0.1204,210.95
0.1935,-0.0103,-0.1208,211
0.1928,-0.0154,-0.0864,211.05
0.192,-0.0189,-0.0518,211.1
0.1909,-0.0206,-0.0346,211.15
0.1899,-0.0224,-0.0178,211.2
0.1887,-0.0224,0.0338,211.25
0.1877,-0.019,0.0856,211.3
0.1868,-0.0138,0.1202,211.35
0.1863,-0.007,0.1378,211.4
0.1861,-5.59E-05,0.1204,211.45
0.1863,0.0051,0.1202,211.5
0.1866,0.012,0.1381,211.55
0.1875,0.0189,0.0866,211.6
0.1885,0.0206,0.0342,211.65
0.1895,0.0223,0.052,211.7
0.1907,0.0258,0.0182,211.75
0.1921,0.0241,-0.0684,211.8
0.1931,0.019,-0.1032,211.85
0.194,0.0138,-0.103,211.9
0.1945,0.0087,-0.12,211.95
0.1949,0.0018,-0.1548,212
0.1947,-0.0068,-0.1552,212.05
0.1942,-0.0137,-0.1206,212.1
0.1933,-0.0189,-0.1034,212.15
0.1923,-0.024,-0.0868,212.2
0.1909,-0.0275,-0.0178,212.25
0.1896,-0.0258,0.0344,212.3
0.1884,-0.0241,0.034,212.35
0.1871,-0.0224,0.0683,212.4
0.1861,-0.0173,0.12,212.45
0.1854,-0.0104,0.1548,212.5
0.1851,-0.0018,0.1552,212.55
0.1852,0.0051,0.1202,212.6
0.1856,0.0102,0.1376,212.65
0.1863,0.0189,0.1383,212.7
0.1875,0.0241,0.0692,212.75
0.1887,0.0258,0.0346,212.8
0.19,0.0275,0.0178,212.85
0.1914,0.0276,-0.034,212.9
0.1928,0.0241,-0.0684,212.95
0.1938,0.0207,-0.1026,213
0.1949,0.0139,-0.155,213.05
0.1952,0.0052,-0.1376,213.1
0.1954,9.76E-05,-0.1372,213.15
0.1952,-0.0085,-0.1724,213.2
0.1945,-0.0171,-0.1382,213.25
0.1935,-0.0223,-0.0864,213.3
0.1923,-0.0258,-0.052,213.35
0.1909,-0.0275,-0.0176,213.4
0.1896,-0.0275,0.0166,213.45
0.1882,-0.0259,0.0684,213.5
0.187,-0.0207,0.103,213.55
0.1861,-0.0156,0.1202,213.6
0.1854,-0.0087,0.1376,213.65
0.1852,-0.0018,0.1374,213.7
0.1852,0.0051,0.155,213.75
0.1858,0.0137,0.1381,213.8
0.1866,0.0189,0.0862,213.85
0.1876,0.0223,0.069,213.9
0.1888,0.0258,0.0524,213.95
0.1902,0.0276,-0.0166,214
0.1916,0.0241,-0.0686,214.05
0.1926,0.0207,-0.0856,214.1
0.1937,0.0156,-0.1204,214.15
0.1942,0.0087,-0.1202,214.2
0.1945,0.0035,-0.1374,214.25
0.1945,-0.0051,-0.1554,214.3
0.194,-0.012,-0.1036,214.35
0.1933,-0.0154,-0.0686,214.4
0.1925,-0.0189,-0.0864,214.45
0.1915,-0.0241,-0.0526,214.5
0.1901,-0.0241,0.0342,214.55
0.189,-0.0207,0.0516,214.6
0.188,-0.019,0.051,214.65
0.1871,-0.0156,0.1028,214.7
0.1864,-0.0087,0.1378,214.75
0.1863,-0.0018,0.1204,214.8
0.1863,0.0034,0.1202,214.85
0.1866,0.0102,0.138,214.9
0.1873,0.0172,0.1039,214.95
0.1883,0.0206,0.0346,215
0.1894,0.0206,0.0174,215.05
0.1904,0.0224,7.66E-04,215.1
0.1916,0.0207,-0.0686,215.15
0.1925,0.0155,-0.086,215.2
0.1932,0.0121,-0.0856,215.25
0.1937,0.007,-0.1202,215.3
0.1938,7.75E-05,-0.1378,215.35
0.1937,-0.0068,-0.1208,215.4
0.1932,-0.012,-0.086,215.45
0.1925,-0.0154,-0.0862,215.5
0.1916,-0.0206,-0.0696,215.55
0.1904,-0.0224,-1.92E-04,215.6
0.1894,-0.0206,0.017,215.65
0.1884,-0.0207,0.0337,215.7
0.1873,-0.0173,0.103,215.75
0.1866,-0.0104,0.1206,215.8
0.1863,-0.0052,0.103,215.85
0.1861,-7.45E-05,0.1202,215.9
0.1863,0.0068,0.1376,215.95
0.1868,0.0137,0.1381,216
0.1876,0.0206,0.0865,216.05
0.1888,0.0223,0.0346,216.1
0.1899,0.0241,0.0178,216.15
0.1913,0.0241,-0.0342,216.2
0.1923,0.0207,-0.0514,216.25
0.1933,0.019,-0.068,216.3
0.1942,0.0139,-0.1374,216.35
0.1947,0.0052,-0.1552,216.4
0.1947,-0.0017,-0.1202,216.45
0.1945,-0.0068,-0.1376,216.5
0.194,-0.0154,-0.1382,216.55
0.193,-0.0206,-0.0864,216.6
0.192,-0.0241,-0.052,216.65
0.1906,-0.0258,-0.0174,216.7
0.1894,-0.0258,-5.60E-04,216.75
0.188,-0.0259,0.0509,216.8
0.1868,-0.0207,0.1204,216.85
0.1859,-0.0138,0.1204,216.9
0.1854,-0.0087,0.12,216.95
0.1851,-0.0018,0.1548,217
0.1852,0.0068,0.155,217.05
0.1858,0.0137,0.138,217.1
0.1866,0.0206,0.1037,217.15
0.1878,0.0241,0.0518,217.2
0.189,0.0258,0.0348,217.25
0.1904,0.0275,5.74E-04,217.3
0.1918,0.0258,-0.0514,217.35
0.193,0.0224,-0.0684,217.4
0.194,0.019,-0.1026,217.45
0.1949,0.0121,-0.1548,217.5
0.1952,0.0035,-0.155,217.55
0.1952,-0.0034,-0.1376,217.6
0.1949,-0.0102,-0.138,217.65
0.1942,-0.0172,-0.1034,217.7
0.1932,-0.0206,-0.0862,217.75
0.1921,-0.0258,-0.0696,217.8
0.1906,-0.0275,-3.81E-04,217.85
0.1894,-0.0258,0.034,217.9
0.188,-0.0241,0.0684,217.95
0.187,-0.019,0.103,218
0.1861,-0.0138,0.12,218.05
0.1856,-0.007,0.1548,218.1
0.1854,0.0016,0.1552,218.15
0.1858,0.0085,0.1206,218.2
0.1863,0.0137,0.1034,218.25
0.1871,0.0189,0.0864,218.3
0.1882,0.0223,0.052,218.35
0.1894,0.0241,0.0174,218.4
0.1906,0.0241,5.79E-04,218.45
0.1918,0.0241,-0.0508,218.5
0.193,0.019,-0.1204,218.55
0.1937,0.0121,-0.1206,218.6
0.1942,0.0069,-0.103,218.65
0.1944,0.0018,-0.12,218.7
0.1944,-0.0051,-0.1552,218.75
0.1939,-0.0137,-0.1212,218.8
0.193,-0.0172,-0.0516,218.85
0.1921,-0.0189,-0.0518,218.9
0.1911,-0.0224,-0.0352,218.95
0.1899,-0.0224,0.0342,219
0.1889,-0.0189,0.0516,219.05
0.188,-0.0172,0.0509,219.1
0.1871,-0.0139,0.1202,219.15
0.1866,-0.0052,0.138,219.2
0.1866,-5.60E-05,0.1028,219.25
0.1866,0.0051,0.1378,219.3
0.1871,0.0137,0.1211,219.35
0.188,0.0172,0.0518,219.4
0.1888,0.0189,0.0346,219.45
0.1899,0.0206,0.0176,219.5
0.1909,0.0207,-0.0166,219.55
0.1919,0.019,-0.0684,219.6
0.1928,0.0138,-0.1034,219.65
0.1933,0.0086,-0.0858,219.7
0.1937,0.0052,-0.1028,219.75
0.1938,-0.0016,-0.138,219.8
0.1935,-0.0086,-0.1034,219.85
0.193,-0.012,-0.086,219.9
0.1923,-0.0172,-0.0866,219.95
0.1913,-0.0206,-0.0348,220
0.1902,-0.0206,-1.88E-04,220.05
0.1892,-0.0207,0.0168,220.1
0.1882,-0.019,0.0512,220.15
0.1873,-0.0155,0.0856,220.2
0.1866,-0.0104,0.1202,220.25
0.1863,-0.0035,0.1376,220.3
0.1863,0.0034,0.1378,220.35
0.1866,0.0103,0.1208,220.4
0.1873,0.0154,0.0862,220.45
0.1882,0.0189,0.0688,220.5
0.1892,0.0223,0.0694,220.55
0.1904,0.0258,0.0182,220.6
0.1918,0.0241,-0.0686,220.65
0.1928,0.019,-0.0862,220.7
0.1937,0.0155,-0.0684,220.75
0.1944,0.0121,-0.1026,220.8
0.1949,0.0053,-0.1548,220.85
0.1949,-0.0034,-0.1552,220.9
0.1945,-0.0103,-0.1206,220.95
0.1939,-0.0154,-0.1034,221
0.193,-0.0206,-0.0864,221.05
0.1918,-0.0241,-0.052,221.1
0.1906,-0.0258,-0.0176,221.15
0.1892,-0.0258,0.0166,221.2
0.188,-0.0241,0.0683,221.25
0.1868,-0.019,0.1204,221.3
0.1861,-0.0121,0.1204,221.35
0.1856,-0.007,0.1202,221.4
